tissue	anchor	offset_nt	psites	n_tx	psites_norm
pooled	start	82	1062097	567184	987.701820
pooled	start	83	1150416	567184	1035.327291
pooled	start	84	9838466	567136	6219.250488
pooled	start	85	1206501	567104	1039.932182
pooled	start	86	1230697	567096	1020.513010
pooled	start	87	10503388	567048	6036.670081
pooled	start	88	1076364	567040	962.113295
pooled	start	89	1151087	567008	940.049473
pooled	start	90	12035281	566968	6316.116752
pooled	start	91	1245562	566936	1073.555153
pooled	start	92	1140527	566920	1037.442578
pooled	start	93	10122417	566880	6187.291493
pooled	start	94	1312327	566808	1041.639049
pooled	start	95	1171130	566784	1017.536146
pooled	start	96	10849224	566760	6244.986370
pooled	start	97	1496029	566744	1006.797174
pooled	start	98	1059212	566704	990.044288
pooled	start	99	9830901	566656	6301.679549
pooled	start	100	1270800	566624	1025.341955
pooled	start	101	1133584	566608	1024.361397
pooled	start	102	9365642	566568	6353.017814
pooled	start	103	1146082	566544	1066.712197
pooled	start	104	1007894	566528	1008.321388
pooled	start	105	9689059	566472	6688.857247
pooled	start	106	1168759	566448	1043.916496
pooled	start	107	1049674	566408	975.251124
pooled	start	108	10620305	566352	6519.000708
pooled	start	109	1253730	566320	1029.892740
pooled	start	110	1149091	566288	965.137634
pooled	start	111	11125140	566256	6520.806469
pooled	start	112	1211754	566208	1033.236587
pooled	start	113	1172544	566200	959.159271
pooled	start	114	10018912	566192	6583.764547
pooled	start	115	1120109	566152	1020.221454
pooled	start	116	965445	566088	955.645129
pooled	start	117	9456021	566056	6473.747883
pooled	start	118	1230584	566032	1131.819258
pooled	start	119	1101693	566008	926.476338
pooled	start	120	10142567	565944	6313.510217
pooled	start	121	1282896	565920	1050.829482
pooled	start	122	1429384	565880	1003.026138
pooled	start	123	10603593	565864	6643.230500
pooled	start	124	1205510	565856	1070.883491
pooled	start	125	1215499	565824	1037.056480
pooled	start	126	10751534	565784	6792.946661
pooled	start	127	1062779	565776	1066.946684
pooled	start	128	994486	565752	1008.403732
pooled	start	129	11528235	565672	6785.356920
pooled	start	130	1333744	565640	1107.977002
pooled	start	131	1055747	565616	993.350373
pooled	start	132	13076796	565568	6837.387775
pooled	start	133	1402679	565528	1060.469546
pooled	start	134	1178058	565464	1033.665580
pooled	start	135	10601251	565424	6651.583096
pooled	start	136	1039376	565368	989.132899
pooled	start	137	1098783	565328	1005.481652
pooled	start	138	9931314	565296	6662.743267
pooled	start	139	1110009	565280	1040.421626
pooled	start	140	930162	565208	961.746779
pooled	start	141	9195624	565136	6689.431728
pooled	start	142	1095642	565112	1085.447706
pooled	start	143	1108488	565064	1048.620305
pooled	start	144	11117202	564984	7402.893490
pooled	start	145	1293552	564952	1112.414122
pooled	start	146	1156587	564872	1034.595683
pooled	start	147	11159768	564832	7332.648976
pooled	start	148	1253761	564808	1212.727899
pooled	start	149	1264831	564768	1153.944011
pooled	start	150	10889019	564736	7826.293161
pooled	stop	-150	12134153	568392	8289.061616
pooled	stop	-149	1338404	568400	1191.314618
pooled	stop	-148	1067750	568400	1150.378831
pooled	stop	-147	9021847	568416	7590.278190
pooled	stop	-146	1098667	568424	1051.764587
pooled	stop	-145	983033	568424	1083.418037
pooled	stop	-144	9928215	568440	7461.368641
pooled	stop	-143	1326098	568456	1031.481495
pooled	stop	-142	1063607	568472	1068.556822
pooled	stop	-141	8765809	568488	7040.127847
pooled	stop	-140	1093426	568488	1020.388666
pooled	stop	-139	1113477	568488	1093.243785
pooled	stop	-138	8784632	568496	7033.756921
pooled	stop	-137	1112077	568504	992.755730
pooled	stop	-136	1144903	568512	1123.640367
