# D13_pgx_values.json -> WIDE (record table at 'mamba4', 3 rows)
key	null_atg	model_standard	model_poisson
HBL1	{"density_per_1k":0.07228097058887308,"novel_peptides":20,"db_novel_seqs":276698,"d_gencode_psms":-369,"d_gencode_peptides":-124,"d_total_peptides":-104}	{"density_per_1k":0.7733204446592556,"novel_peptides":8,"db_novel_seqs":10345,"d_gencode_psms":-71,"d_gencode_peptides":-22,"d_total_peptides":-14}	{"density_per_1k":7.621121393576484,"novel_peptides":14,"db_novel_seqs":1837,"d_gencode_psms":0,"d_gencode_peptides":0,"d_total_peptides":14}
DoHH2	{"density_per_1k":0.05360559477469156,"novel_peptides":13,"db_novel_seqs":242512,"d_gencode_psms":13,"d_gencode_peptides":4,"d_total_peptides":17}	{"density_per_1k":3.903391070992925,"novel_peptides":32,"db_novel_seqs":8198,"d_gencode_psms":140,"d_gencode_peptides":63,"d_total_peptides":95}	{"density_per_1k":7.161125319693095,"novel_peptides":14,"db_novel_seqs":1955,"d_gencode_psms":18,"d_gencode_peptides":7,"d_total_peptides":21}
SUDHL4	{"density_per_1k":0.10781629643320588,"novel_peptides":28,"db_novel_seqs":259701,"d_gencode_psms":43,"d_gencode_peptides":19,"d_total_peptides":47}	{"density_per_1k":2.1253985122210413,"novel_peptides":22,"db_novel_seqs":10351,"d_gencode_psms":0,"d_gencode_peptides":0,"d_total_peptides":22}	{"density_per_1k":6.169031462060457,"novel_peptides":10,"db_novel_seqs":1621,"d_gencode_psms":0,"d_gencode_peptides":0,"d_total_peptides":10}
