# A4_values.json -> WIDE (record table at 'arms', 4 rows)
source	ceiling_source	n_ref_genomewide	n_ref_restricted	n_gene_universe	n_tx_universe	ceiling_n_ref	key	n_pred	n_real	n_match	precision	recall	f1	recall_annotated	n_real_annotated	n_pred_annotated	precision_annotated	recall_noncanonical	n_real_noncanonical	n_pred_noncanonical	precision_noncanonical
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/B721_pilot/dropin_compare/b721_dropin_metrics.json	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/B721_pilot/dropin_compare/ceiling_AvsB	21974	16331	11527	30075	15703	mamba4/theta1	12151	16331	9476	0.77985351	0.58024616	0.66540271	0.75430795	10794	8523	0.95400681	0.24092469	5537	3628	0.37072767
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/B721_pilot/dropin_compare/b721_dropin_metrics.json	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/B721_pilot/dropin_compare/ceiling_AvsB	21974	16331	11527	30075	15703	mamba4/poisson	9304	16331	8256	0.88736028	0.50554161	0.64411937	0.71410043	10794	7999	0.96299537	0.098970562	5537	1305	0.42375479
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/B721_pilot/dropin_compare/b721_dropin_metrics.json	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/B721_pilot/dropin_compare/ceiling_AvsB	21974	16331	11527	30075	15703	attn/theta1	12699	16331	9669	0.76139854	0.59206417	0.66613848	0.75866222	10794	8568	0.95389823	0.26729276	5537	4131	0.36213992
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/B721_pilot/dropin_compare/b721_dropin_metrics.json	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/B721_pilot/dropin_compare/ceiling_AvsB	21974	16331	11527	30075	15703	attn/poisson	8732	16331	8017	0.91811727	0.49090686	0.63974784	0.70455809	10794	7868	0.96568378	0.074408524	5537	864	0.4849537
