# A3_values.json -> WIDE (record table at 'per_fold', 9 rows)
corr_periodobs_profilePearson	pc_profile_pearson_CV	pc_count_pearson_CV	pc_count_pearson_median	tissue	pc_prof	period_obs	period_pred	pc_count
0.81075869	0.23746295	0.10607496	0.82707772	Brain	0.23348036	0.044432755	0.43103679	0.58696842
0.81075869	0.23746295	0.10607496	0.82707772	HA_EC	0.44736365	0.098401157	0.4521669	0.83927534
0.81075869	0.23746295	0.10607496	0.82707772	HUVEC	0.41321015	0.10960479	0.41364044	0.81804667
0.81075869	0.23746295	0.10607496	0.82707772	VSMC	0.49034079	0.11023588	0.44210624	0.77294986
0.81075869	0.23746295	0.10607496	0.82707772	Hepatocytes	0.63789945	0.15780284	0.37989126	0.88115775
0.81075869	0.23746295	0.10607496	0.82707772	HCAEC	0.56986967	0.17069534	0.41472358	0.82707772
0.81075869	0.23746295	0.10607496	0.82707772	ES	0.56096627	0.20151192	0.3752204	0.84448783
0.81075869	0.23746295	0.10607496	0.82707772	Fibroblast	0.62927995	0.22221701	0.34025732	0.88151874
0.81075869	0.23746295	0.10607496	0.82707772	Fat	0.56215524	0.2604343	0.29852058	0.76514715
