# D13_pgx_values.json -> WIDE (record table at 'mamba4', 4 rows)
key	null_atg	model_standard	model_poisson	null_nc
HBL1	{"density_per_1k":0.07228097058887308,"novel_peptides":20,"db_novel_seqs":276698,"d_gencode_psms":-369}	{"density_per_1k":0.7733204446592556,"novel_peptides":8,"db_novel_seqs":10345,"d_gencode_psms":-71}	{"density_per_1k":7.621121393576484,"novel_peptides":14,"db_novel_seqs":1837,"d_gencode_psms":0}	
DoHH2	{"density_per_1k":0.05360559477469156,"novel_peptides":13,"db_novel_seqs":242512,"d_gencode_psms":13}	{"density_per_1k":3.903391070992925,"novel_peptides":32,"db_novel_seqs":8198,"d_gencode_psms":140}	{"density_per_1k":7.161125319693095,"novel_peptides":14,"db_novel_seqs":1955,"d_gencode_psms":18}	
SUDHL4	{"density_per_1k":0.10781629643320588,"novel_peptides":28,"db_novel_seqs":259701,"d_gencode_psms":43}	{"density_per_1k":2.1253985122210413,"novel_peptides":22,"db_novel_seqs":10351,"d_gencode_psms":0}	{"density_per_1k":6.169031462060457,"novel_peptides":10,"db_novel_seqs":1621,"d_gencode_psms":0}	
A549	{"density_per_1k":0.027107029394862675,"novel_peptides":10,"db_novel_seqs":368908,"d_gencode_psms":-4109}	{"density_per_1k":0.8727695888285493,"novel_peptides":9,"db_novel_seqs":10312,"d_gencode_psms":-265}	{"density_per_1k":4.575707154742097,"novel_peptides":11,"db_novel_seqs":2404,"d_gencode_psms":0}	{"density_per_1k":0.009708298832679258,"novel_peptides":38,"db_novel_seqs":3914177,"d_gencode_psms":-11278}
