# E2_values.json -> WIDE (record table at 'classes', 6 rows)
model	aggregation	ceiling	source	orf_class	ceiling_min	ceiling_max	ceiling_mean	model_pred_obsdepth_mean	model_pred_preddepth_mean	model_pred_obsdepth_mean_attn	n_cells_pred_obsdepth_attn	model_pred_preddepth_mean_attn	n_cells_pred_preddepth_attn	model_pred_obsdepth_mean_mamba4	n_cells_pred_obsdepth_mamba4	model_pred_preddepth_mean_mamba4	n_cells_pred_preddepth_mamba4
both	mean over model cells; 'both' pools BOTH architectures (2 models x 9 RNA/Ribo combinations). Per-architecture means are in the model_<arm>_mean_<attn|mamba4> fields regardless of --model.	ribo_vs_ribo, the 6 ordered experiment pairs; no model involved	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/results/mouse_liver_3x3_canon/scored	annotated	0.9912	0.9948	0.9925	0.98584444	0.97538889	0.98375556	9	0.97774444	9	0.98793333	9	0.97303333	9
both	mean over model cells; 'both' pools BOTH architectures (2 models x 9 RNA/Ribo combinations). Per-architecture means are in the model_<arm>_mean_<attn|mamba4> fields regardless of --model.	ribo_vs_ribo, the 6 ordered experiment pairs; no model involved	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/results/mouse_liver_3x3_canon/scored	uORF	0.6817	0.8321	0.7472	0.54677222	0.51	0.54111111	9	0.51927778	9	0.55243333	9	0.50072222	9
both	mean over model cells; 'both' pools BOTH architectures (2 models x 9 RNA/Ribo combinations). Per-architecture means are in the model_<arm>_mean_<attn|mamba4> fields regardless of --model.	ribo_vs_ribo, the 6 ordered experiment pairs; no model involved	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/results/mouse_liver_3x3_canon/scored	novel	0.6804	0.7848	0.7203	0.57561111	0.34474444	0.56928889	9	0.34412222	9	0.58193333	9	0.34536667	9
both	mean over model cells; 'both' pools BOTH architectures (2 models x 9 RNA/Ribo combinations). Per-architecture means are in the model_<arm>_mean_<attn|mamba4> fields regardless of --model.	ribo_vs_ribo, the 6 ordered experiment pairs; no model involved	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/results/mouse_liver_3x3_canon/scored	Overlap_uORF	0.6655	0.7707	0.7027	0.43036667	0.42860556	0.42655556	9	0.43523333	9	0.43417778	9	0.42197778	9
both	mean over model cells; 'both' pools BOTH architectures (2 models x 9 RNA/Ribo combinations). Per-architecture means are in the model_<arm>_mean_<attn|mamba4> fields regardless of --model.	ribo_vs_ribo, the 6 ordered experiment pairs; no model involved	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/results/mouse_liver_3x3_canon/scored	dORF	0.4802	0.6058	0.52506667	0.10283889	0.089377778	0.12283333	9	0.1064	9	0.082844444	9	0.072355556	9
both	mean over model cells; 'both' pools BOTH architectures (2 models x 9 RNA/Ribo combinations). Per-architecture means are in the model_<arm>_mean_<attn|mamba4> fields regardless of --model.	ribo_vs_ribo, the 6 ordered experiment pairs; no model involved	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/results/mouse_liver_3x3_canon/scored	internal	0.5116	0.6174	0.54896667	0.022166667	0.019733333	0.014444444	9	0.013033333	9	0.029888889	9	0.026433333	9
