# P3_values.json -> WIDE (record table at 'tissues', 8 rows)
universe_tx	n_training_tissues	n_ribo_libraries_total	depth_spread_train	tissue	pack	n_ribo	psites	holdout
84472	7	74	11.394283	Fibroblast	packed_canon	32	1069763798	false
84472	7	74	11.394283	VSMC	packed_canon_VSMC	11	474479065	false
84472	7	74	11.394283	ES	packed_canon_ES	6	494036270	false
84472	7	74	11.394283	Fat	packed_canon_Fat	6	565127456	false
84472	7	74	11.394283	HA_EC	packed_canon_HA_EC	6	168061399	false
84472	7	74	11.394283	HCAEC	packed_canon_HCAEC	5	698883779	false
84472	7	74	11.394283	HUVEC	packed_canon_HUVEC	3	93886013	false
84472	7	74	11.394283	Hepatocytes	packed_canon_Hepatocytes	5	1134988915	true
